scenario_id,language,normalized_character_edit_rate,total_n
S01,Hindi,0.35062611806797855,300
S01,Bengali,0.5595432300163132,300
S01,Tamil,0.37989556135770236,300
S01,Spanish,0.08695652173913043,300
S01,Japanese,0.376984126984127,300
S01,Arabic,0.289532293986637,300
S02,Hindi,0.45930232558139533,300
S02,Bengali,0.5965811965811966,300
S02,Tamil,0.3949801849405548,300
S02,Spanish,0.012658227848101266,300
S02,Japanese,0.39849624060150374,300
S02,Arabic,0.33985330073349634,300
S03,Hindi,0.38461538461538464,300
S03,Bengali,0.3176470588235294,300
S03,Tamil,0.32189349112426036,300
S03,Spanish,0.2675862068965517,300
S03,Japanese,0.5559006211180124,300
S03,Arabic,0.5210420841683366,300
S04,Hindi,0.45266781411359724,300
S04,Bengali,0.5121951219512195,300
S04,Tamil,0.2847411444141689,300
S04,Spanish,0.23792486583184258,300
S04,Japanese,0.6526717557251909,300
S04,Arabic,0.6118251928020566,300
S05,Hindi,0.44212218649517687,300
S05,Bengali,0.5179558011049724,300
S05,Tamil,0.28773072747014117,300
S05,Spanish,0.23065693430656933,300
S05,Japanese,0.5987261146496815,300
S05,Arabic,0.6035242290748899,300
S06,Hindi,0.2864583333333333,300
S06,Bengali,0.5442404006677797,300
S06,Tamil,0.21216041397153945,300
S06,Spanish,0.26066350710900477,300
S06,Japanese,0.6573426573426573,300
S06,Arabic,0.65311004784689,300
S07,Hindi,0.37750385208012327,300
S07,Bengali,0.5007052186177715,300
S07,Tamil,0.39601769911504425,300
S07,Spanish,0.38992042440318303,300
S07,Japanese,0.711038961038961,300
S07,Arabic,0.6397228637413395,300
S08,Hindi,0.3111455108359133,300
S08,Bengali,0.4789325842696629,300
S08,Tamil,0.23493975903614459,300
S08,Spanish,0.3985611510791367,300
S08,Japanese,0.6560509554140127,300
S08,Arabic,0.6470588235294118,300
S09,Hindi,0.3238938053097345,300
S09,Bengali,0.558599695585997,300
S09,Tamil,0.17427884615384615,300
S09,Spanish,0.47806354009077157,300
S09,Japanese,0.6273062730627307,300
S09,Arabic,0.6762589928057554,300
S10,Hindi,0.34050179211469533,300
S10,Bengali,0.6187050359712231,300
S10,Tamil,0.16183574879227053,300
S10,Spanish,0.41750358680057387,300
S10,Japanese,0.7024221453287197,300
S10,Arabic,0.7102137767220903,300
